,S1
lv.k_pas,0.4967415416631023
T,0.1411744610490576
lv.E_act,0.09747760100629148
art.r,0.07816420152114471
ven.c,0.04516297902272398
lv.E_pas,0.03982975821383736
la.k_pas,0.01817470324202461
art.c,0.015248526750466599
ao.c,0.0022417592192951826
la.E_pas,0.0019197928382030183
la.E_act,0.0016658865170825184
av.r,0.0006716410947172182
ven.r,0.00039416452577817606
la.v_ref,0.000297796467825093
mv.r,-0.00026564632058904795
ao.r,-0.0011253401708154155
lv.v_ref,-0.0016459051107987931
