,ST
lv.k_pas,0.5200467687799436
T,0.16660411768106761
lv.E_act,0.11394401064991273
art.r,0.09284801328211646
ven.c,0.05379554789914217
lv.E_pas,0.042581378669203446
art.c,0.023934022938009145
la.k_pas,0.016537807786911482
ao.c,0.005145799688929605
ao.r,0.0027760712518225114
la.E_act,0.0026114626407715597
ven.r,0.00192464693467053
la.E_pas,0.0019143387802109861
mv.r,0.0012194214495411413
la.v_ref,0.0006549963192471515
av.r,0.0006020339226706061
lv.v_ref,0.0005889159656748305
