,ST
lv.k_pas,0.4977769461461122
T,0.6598032022919268
lv.E_act,0.7689742724127012
art.r,0.8597936394848601
ven.c,0.9108976586243202
lv.E_pas,0.9490493138945687
art.c,0.968713368882733
la.k_pas,0.9846600628277687
ao.c,0.9887744089995314
la.E_act,0.9913498591894857
ao.r,0.9936883026165136
ven.r,0.9952704570028537
la.E_pas,0.9968126655981855
mv.r,0.9979529251323486
la.v_ref,0.998738402087079
av.r,0.999430809792338
lv.v_ref,1.0
